Diet,Food_Item,Reference_grams_per_day,Diet_grams_per_day,Pct_of_reference
EAT-Lancet (Planetary),Snacks,35,10,28.57142857142857
EAT-Lancet (Planetary),Cookies_Pastries,30,5,16.666666666666664
EAT-Lancet (Planetary),Soups,25,20,80.0
EAT-Lancet (Planetary),Coffee,12,8,66.66666666666666
EAT-Lancet (Planetary),Tea,3,4,133.33333333333331
EAT-Lancet (Planetary),Alcohol,20,10,50.0
EAT-Lancet (Planetary),Oils,25,18,72.0
EAT-Lancet (Planetary),Rice,40,60,150.0
EAT-Lancet (Planetary),Bread,170,170,100.0
EAT-Lancet (Planetary),Pasta,30,20,66.66666666666666
EAT-Lancet (Planetary),Dairy,0,0,0.0
EAT-Lancet (Planetary),Butter,8,3,37.5
EAT-Lancet (Planetary),Animal_Fats,5,1,20.0
EAT-Lancet (Planetary),Condiment_Sauces,12,8,66.66666666666666
EAT-Lancet (Planetary),Spice_Mixes,4,5,125.0
Mediterranean Diet,Beef,10,8,80.0
Mediterranean Diet,Pork,10,8,80.0
Mediterranean Diet,Lamb,13,12,92.3076923076923
Mediterranean Diet,Chicken,25,20,80.0
Mediterranean Diet,Processed_Meats,20,10,50.0
Mediterranean Diet,Cheese,40,30,75.0
Mediterranean Diet,Milk,250,200,80.0
Mediterranean Diet,Fish,25,35,140.0
Mediterranean Diet,Eggs,20,18,90.0
Mediterranean Diet,Pulses,30,60,200.0
Mediterranean Diet,Nuts,25,30,120.0
Mediterranean Diet,Meat_Subs,20,10,50.0
Mediterranean Diet,Grains,240,240,100.0
Mediterranean Diet,Vegetables,250,300,120.0
Mediterranean Diet,Fruits,200,220,110.00000000000001
Mediterranean Diet,Potatoes,70,60,85.71428571428571
Mediterranean Diet,Sugar,25,20,80.0
Mediterranean Diet,Snacks,35,15,42.857142857142854
Mediterranean Diet,Cookies_Pastries,30,15,50.0
Mediterranean Diet,Soups,25,30,120.0
Mediterranean Diet,Coffee,12,8,66.66666666666666
Mediterranean Diet,Tea,3,5,166.66666666666669
Mediterranean Diet,Alcohol,20,30,150.0
Mediterranean Diet,Oils,25,30,120.0
Mediterranean Diet,Rice,40,45,112.5
Mediterranean Diet,Bread,170,180,105.88235294117648
Mediterranean Diet,Pasta,30,35,116.66666666666667
Mediterranean Diet,Dairy,0,0,0.0
Mediterranean Diet,Butter,8,6,75.0
Mediterranean Diet,Animal_Fats,5,3,60.0
Mediterranean Diet,Condiment_Sauces,12,10,83.33333333333334
Mediterranean Diet,Spice_Mixes,4,4,100.0
